Mem_used Mem_free Mem_total Mem_Disp Date Time Elapsed_time
1569516 3559444 7088316 5278360 2022-12-26 21:53:47 1360
1572524 3556424 7088316 5275352 2022-12-26 21:53:52 1365
1573052 3555880 7088316 5274824 2022-12-26 21:53:57 1370
1571732 3557184 7088316 5276216 2022-12-26 21:54:02 1375
1574848 3554056 7088316 5273092 2022-12-26 21:54:07 1380
1575428 3553460 7088316 5272440 2022-12-26 21:54:12 1385
1573676 3555200 7088316 5274180 2022-12-26 21:54:17 1390
1575384 3553480 7088316 5272460 2022-12-26 21:54:22 1395
1575860 3552988 7088316 5271984 2022-12-26 21:54:27 1400
1574824 3554008 7088316 5273020 2022-12-26 21:54:32 1405
1574752 3554064 7088316 5273092 2022-12-26 21:54:37 1410
1575844 3552960 7088316 5271988 2022-12-26 21:54:42 1415
1575800 3552988 7088316 5272044 2022-12-26 21:54:47 1420
1574760 3554012 7088316 5273080 2022-12-26 21:54:52 1425
1574660 3554096 7088316 5273180 2022-12-26 21:54:57 1430
1575520 3553204 7088316 5272320 2022-12-26 21:55:02 1435
1576132 3552592 7088316 5271708 2022-12-26 21:55:07 1440
1575464 3553240 7088316 5272376 2022-12-26 21:55:12 1445
1575204 3553488 7088316 5272644 2022-12-26 21:55:17 1450
1578060 3550612 7088316 5269792 2022-12-26 21:55:22 1455
1577044 3551620 7088316 5270808 2022-12-26 21:55:27 1460
1576172 3552476 7088316 5271680 2022-12-26 21:55:32 1465
1576088 3552548 7088316 5271772 2022-12-26 21:55:37 1470
1576004 3552620 7088316 5271856 2022-12-26 21:55:42 1475
1576192 3552416 7088316 5271676 2022-12-26 21:55:47 1480
1575164 3553432 7088316 5272700 2022-12-26 21:55:52 1485
1578012 3550568 7088316 5269852 2022-12-26 21:55:57 1490
1576604 3551964 7088316 5271260 2022-12-26 21:56:02 1495
1574824 3553728 7088316 5273056 2022-12-26 21:56:07 1500
1577040 3551500 7088316 5270840 2022-12-26 21:56:12 1505
1576096 3552428 7088316 5271784 2022-12-26 21:56:17 1510
1575636 3552876 7088316 5272244 2022-12-26 21:56:23 1515
1577344 3551156 7088316 5270536 2022-12-26 21:56:28 1520
1576136 3552344 7088316 5271740 2022-12-26 21:56:33 1525
1576824 3551644 7088316 5271052 2022-12-26 21:56:38 1530
1577176 3551276 7088316 5270700 2022-12-26 21:56:43 1535
1575712 3552728 7088316 5272168 2022-12-26 21:56:48 1540
1575980 3552444 7088316 5271900 2022-12-26 21:56:53 1545
1575660 3552752 7088316 5272220 2022-12-26 21:56:58 1550
1574184 3554216 7088316 5273640 2022-12-26 21:57:03 1555
1576564 3551816 7088316 5271264 2022-12-26 21:57:08 1560
1574636 3553716 7088316 5273192 2022-12-26 21:57:13 1565
1576284 3552052 7088316 5271544 2022-12-26 21:57:18 1570
1576552 3551772 7088316 5271264 2022-12-26 21:57:23 1575
1575744 3552564 7088316 5272068 2022-12-26 21:57:28 1580
1574736 3553560 7088316 5273076 2022-12-26 21:57:33 1585
1576096 3552184 7088316 5271716 2022-12-26 21:57:38 1590
1574956 3553300 7088316 5272844 2022-12-26 21:57:43 1595
1574636 3553604 7088316 5273168 2022-12-26 21:57:48 1600
1575116 3553112 7088316 5272692 2022-12-26 21:57:53 1605
1575248 3552968 7088316 5272620 2022-12-26 21:57:58 1610
1574428 3553776 7088316 5273444 2022-12-26 21:58:03 1615
1574228 3553960 7088316 5273652 2022-12-26 21:58:08 1620
1574220 3553952 7088316 5273648 2022-12-26 21:58:13 1625
1573948 3554224 7088316 5273924 2022-12-26 21:58:18 1630
1573004 3555144 7088316 5274860 2022-12-26 21:58:23 1635
1573132 3555016 7088316 5274740 2022-12-26 21:58:28 1640
1572636 3555484 7088316 5275224 2022-12-26 21:58:33 1645
1572412 3555704 7088316 5275460 2022-12-26 21:58:38 1650
1572380 3555724 7088316 5275492 2022-12-26 21:58:43 1655
1573208 3554868 7088316 5274652 2022-12-26 21:58:48 1660
1571692 3556376 7088316 5276172 2022-12-26 21:58:53 1665
1571532 3556520 7088316 5276328 2022-12-26 21:58:58 1670
1571780 3556268 7088316 5276092 2022-12-26 21:59:04 1675
1571028 3556992 7088316 5276976 2022-12-26 21:59:09 1680
1572460 3555560 7088316 5275556 2022-12-26 21:59:14 1685
1570824 3557180 7088316 5277028 2022-12-26 21:59:19 1690
1571796 3556196 7088316 5276040 2022-12-26 21:59:24 1695
1573056 3554912 7088316 5274776 2022-12-26 21:59:29 1700
1570936 3557028 7088316 5276900 2022-12-26 21:59:34 1705
1569768 3558168 7088316 5278060 2022-12-26 21:59:39 1710
1571036 3556880 7088316 5276792 2022-12-26 21:59:44 1715
1572104 3555800 7088316 5275724 2022-12-26 21:59:49 1720
1570736 3557164 7088316 5277088 2022-12-26 21:59:54 1725
1570920 3556956 7088316 5276908 2022-12-26 21:59:59 1730
1571544 3556300 7088316 5276280 2022-12-26 22:00:04 1735
1568540 3559288 7088316 5279276 2022-12-26 22:00:09 1740
1568788 3559028 7088316 5279040 2022-12-26 22:00:14 1745
1570452 3557352 7088316 5277380 2022-12-26 22:00:19 1750
1570500 3557284 7088316 5277324 2022-12-26 22:00:24 1755
1570984 3556784 7088316 5276848 2022-12-26 22:00:29 1760
1570988 3556764 7088316 5276836 2022-12-26 22:00:34 1765
1571580 3556160 7088316 5276236 2022-12-26 22:00:39 1770
1570436 3557304 7088316 5277392 2022-12-26 22:00:44 1775
1571848 3555880 7088316 5275980 2022-12-26 22:00:49 1780
1571328 3556384 7088316 5276504 2022-12-26 22:00:54 1785
1570188 3557500 7088316 5277644 2022-12-26 22:00:59 1790
1570884 3556832 7088316 5276968 2022-12-26 22:01:04 1795
1571120 3556584 7088316 5276740 2022-12-26 22:01:09 1800
1571504 3556184 7088316 5276356 2022-12-26 22:01:14 1805
1571732 3555944 7088316 5276128 2022-12-26 22:01:19 1810
1570700 3556956 7088316 5277160 2022-12-26 22:01:24 1815
1569768 3557876 7088316 5278092 2022-12-26 22:01:29 1820
1572012 3555620 7088316 5275844 2022-12-26 22:01:34 1825
1571808 3555808 7088316 5276052 2022-12-26 22:01:39 1830
1572592 3555012 7088316 5275268 2022-12-26 22:01:45 1835
1574916 3552672 7088316 5272924 2022-12-26 22:01:50 1840
1573336 3554240 7088316 5274516 2022-12-26 22:01:55 1845
1573300 3554264 7088316 5274552 2022-12-26 22:02:00 1850
1573884 3553664 7088316 5273968 2022-12-26 22:02:05 1855
1573500 3554036 7088316 5274352 2022-12-26 22:02:10 1860
1573456 3554064 7088316 5274396 2022-12-26 22:02:15 1865
1572860 3554648 7088316 5274984 2022-12-26 22:02:20 1870
1573640 3553856 7088316 5274212 2022-12-26 22:02:25 1875
1573304 3554176 7088316 5274540 2022-12-26 22:02:30 1880
1574184 3553280 7088316 5273656 2022-12-26 22:02:35 1885
1574908 3552544 7088316 5272948 2022-12-26 22:02:40 1890
1574608 3552832 7088316 5273244 2022-12-26 22:02:45 1895
1572912 3554512 7088316 5274940 2022-12-26 22:02:50 1900
1573244 3554172 7088316 5274608 2022-12-26 22:02:55 1905
1573524 3553872 7088316 5274328 2022-12-26 22:03:00 1910
1572648 3554732 7088316 5275196 2022-12-26 22:03:05 1915
1573424 3553940 7088316 5274420 2022-12-26 22:03:10 1920
1573096 3554256 7088316 5274736 2022-12-26 22:03:15 1925
1573888 3553448 7088316 5273944 2022-12-26 22:03:20 1930
1573020 3554304 7088316 5274812 2022-12-26 22:03:25 1935
1573420 3553892 7088316 5274412 2022-12-26 22:03:30 1940
1573532 3553764 7088316 5274296 2022-12-26 22:03:35 1945
1574372 3552912 7088316 5273460 2022-12-26 22:03:40 1950
1572596 3554672 7088316 5275232 2022-12-26 22:03:45 1955
1573392 3553860 7088316 5274448 2022-12-26 22:03:50 1960
1572596 3554640 7088316 5275244 2022-12-26 22:03:55 1965
1573516 3553708 7088316 5274328 2022-12-26 22:04:00 1970
1573700 3553508 7088316 5274144 2022-12-26 22:04:05 1975
1574088 3553108 7088316 5273744 2022-12-26 22:04:10 1980
1573740 3553440 7088316 5274092 2022-12-26 22:04:15 1985
1572972 3554192 7088316 5274864 2022-12-26 22:04:21 1990
1573776 3553376 7088316 5274052 2022-12-26 22:04:26 1995
1573532 3553604 7088316 5274304 2022-12-26 22:04:31 2000
1574120 3553004 7088316 5273712 2022-12-26 22:04:36 2005
1572828 3554280 7088316 5274996 2022-12-26 22:04:41 2010
1574840 3552256 7088316 5272992 2022-12-26 22:04:46 2015
1571944 3555136 7088316 5275888 2022-12-26 22:04:51 2020
1571548 3555520 7088316 5276284 2022-12-26 22:04:56 2025
1574368 3552656 7088316 5273456 2022-12-26 22:05:01 2030
1575552 3551456 7088316 5272268 2022-12-26 22:05:06 2035
1575356 3551640 7088316 5272476 2022-12-26 22:05:11 2040
1577360 3549632 7088316 5270472 2022-12-26 22:05:16 2045
1573448 3553532 7088316 5274392 2022-12-26 22:05:21 2050
1576844 3550120 7088316 5270992 2022-12-26 22:05:26 2055
1576628 3550324 7088316 5271204 2022-12-26 22:05:31 2060
1576024 3550900 7088316 5271792 2022-12-26 22:05:36 2065
1575584 3551328 7088316 5272248 2022-12-26 22:05:41 2070
1576052 3550852 7088316 5271780 2022-12-26 22:05:46 2075
1575884 3551000 7088316 5271948 2022-12-26 22:05:51 2080
1574740 3552132 7088316 5273084 2022-12-26 22:05:56 2085
1575544 3551312 7088316 5272292 2022-12-26 22:06:01 2090
1573832 3553012 7088316 5274008 2022-12-26 22:06:06 2095
